#taskLabel	taskNamespace	taskType	nCores	memMb	priority	isForceLocal	dependencies	cwd	command
getAlignmentStats_makeTmpDir		command	1	2048	0	1			mkdir -p /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/alignmentStats.xml.tmpdir
getAlignmentStats_generateStats_000		command	1	2048	0	0	getAlignmentStats_makeTmpDir		/PHShome/xd010/libexec/GetAlignmentStats --ref /PHShome/xd010/share/demo/manta/data/Homo_sapiens_assembly19.COST16011_region.fa --output-file /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/alignmentStats.xml.tmpdir/alignmentStats.xml.000.xml --align-file /PHShome/xd010/share/demo/manta/data/HCC1954.NORMAL.30x.compare.COST16011_region.bam
getAlignmentStats_generateStats_001		command	1	2048	0	0	getAlignmentStats_makeTmpDir		/PHShome/xd010/libexec/GetAlignmentStats --ref /PHShome/xd010/share/demo/manta/data/Homo_sapiens_assembly19.COST16011_region.fa --output-file /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/alignmentStats.xml.tmpdir/alignmentStats.xml.001.xml --align-file /PHShome/xd010/share/demo/manta/data/G15512.HCC1954.1.COST16011_region.bam
getAlignmentStats_mergeStats		command	1	2048	0	1	getAlignmentStats_generateStats_000,getAlignmentStats_generateStats_001		/PHShome/xd010/libexec/MergeAlignmentStats --output-file /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/alignmentStats.xml --align-stats-file /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/alignmentStats.xml.tmpdir/alignmentStats.xml.000.xml --align-stats-file /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/alignmentStats.xml.tmpdir/alignmentStats.xml.001.xml
getAlignmentStats_removeTmpDir		command	1	2048	0	1	getAlignmentStats_mergeStats		rm -rf /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/alignmentStats.xml.tmpdir
summarizeStats		command	1	2048	0	1	getAlignmentStats_mergeStats		/PHShome/xd010/libexec/SummarizeAlignmentStats --align-stats /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/alignmentStats.xml --output-file /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/results/stats/alignmentStatsSummary.txt
makeGraphTmpDir		command	1	2048	0	1	getAlignmentStats_mergeStats		mkdir -p /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svLocusGraph.bin.tmpdir
makeLocusGraph_chromId_000_8-107652000-107655000_0000_to_chromId_001_11-94974000-94989000_0000		command	1	1536	0	0	makeGraphTmpDir		/PHShome/xd010/libexec/EstimateSVLoci --output-file /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_8-107652000-107655000_0000_to_chromId_001_11-94974000-94989000_0000.bin --align-stats /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/alignmentStats.xml --region 8:107652000-107655000 --region 11:94974000-94989000 --min-candidate-sv-size 8 --min-edge-observations 3 --ref /PHShome/xd010/share/demo/manta/data/Homo_sapiens_assembly19.COST16011_region.fa --align-file /PHShome/xd010/share/demo/manta/data/HCC1954.NORMAL.30x.compare.COST16011_region.bam --tumor-align-file /PHShome/xd010/share/demo/manta/data/G15512.HCC1954.1.COST16011_region.bam
mergeLocusGraphInputList		workflow	0	0	0	0	makeLocusGraph_chromId_000_8-107652000-107655000_0000_to_chromId_001_11-94974000-94989000_0000		listFileWorkflow
mergeLocusGraph		command	1	4096	0	0	mergeLocusGraphInputList		/PHShome/xd010/libexec/MergeSVLoci --output-file /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svLocusGraph.bin --graph-file-list /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svLocusGraph.bin.tmpdir/list.svLocusGraph.txt
checkLocusGraph		command	1	4096	0	0	mergeLocusGraph		/PHShome/xd010/libexec/CheckSVLoci --graph-file /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svLocusGraph.bin
removeTmpDir		command	1	2048	0	0	mergeLocusGraph		rm -rf /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svLocusGraph.bin.tmpdir
locusGraphStats		command	1	4096	0	0	mergeLocusGraph		/PHShome/xd010/libexec/SummarizeSVLoci --global --graph-file /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svLocusGraph.bin --output-file /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/results/stats/svLocusGraphStats.tsv
makeHyGenDir		command	1	2048	0	1	checkLocusGraph		mkdir -p /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen
generateCandidateSV_0000		command	1	1536	0	0	makeHyGenDir		/PHShome/xd010/libexec/GenerateSVCandidates --align-stats /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/alignmentStats.xml --graph-file /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svLocusGraph.bin --bin-index 0 --bin-count 4 --max-edge-count 10 --min-candidate-sv-size 8 --min-candidate-spanning-count 3 --min-scored-sv-size 50 --ref /PHShome/xd010/share/demo/manta/data/Homo_sapiens_assembly19.COST16011_region.fa --candidate-output-file /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/candidateSV.0000.vcf --diploid-output-file /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/diploidSV.0000.vcf --min-qual-score 10 --min-pass-qual-score 20 --min-pass-gt-score 15 --somatic-output-file /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/somaticSV.0000.vcf --min-somatic-score 10 --min-pass-somatic-score 30 --edge-runtime-log /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/edgeRuntimeLog.0000.txt --edge-stats-log /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/edgeStats.0000.xml --align-file /PHShome/xd010/share/demo/manta/data/HCC1954.NORMAL.30x.compare.COST16011_region.bam --tumor-align-file /PHShome/xd010/share/demo/manta/data/G15512.HCC1954.1.COST16011_region.bam
